[09:50:03] dirs=4 removed=1 sizeMB=189.9
[09:51:33] dirs=3 removed=0 sizeMB=189.9
[09:53:03] dirs=3 removed=0 sizeMB=189.9
[09:54:33] dirs=3 removed=0 sizeMB=95.0
[09:56:03] dirs=3 removed=0 sizeMB=95.0
[09:57:33] dirs=3 removed=0 sizeMB=95.0
[09:59:03] dirs=3 removed=0 sizeMB=95.0
[10:00:33] dirs=3 removed=0 sizeMB=95.0
[10:02:03] dirs=3 removed=0 sizeMB=94.3
[10:03:33] dirs=3 removed=0 sizeMB=189.9
[10:05:03] dirs=3 removed=0 sizeMB=189.9
[10:06:33] dirs=3 removed=0 sizeMB=189.9
[10:08:03] dirs=3 removed=0 sizeMB=189.9
[10:09:33] dirs=3 removed=0 sizeMB=189.9
[10:11:03] dirs=3 removed=0 sizeMB=189.9
[10:12:33] dirs=3 removed=0 sizeMB=95.0
[10:14:03] dirs=3 removed=0 sizeMB=95.0
[10:15:33] dirs=3 removed=0 sizeMB=95.0
[10:17:03] dirs=3 removed=0 sizeMB=95.0
[10:18:33] dirs=3 removed=0 sizeMB=95.0
[10:20:03] dirs=3 removed=0 sizeMB=95.0
[10:21:33] dirs=3 removed=0 sizeMB=189.9
[10:23:03] dirs=3 removed=0 sizeMB=189.9
[10:24:33] dirs=3 removed=0 sizeMB=189.9
[10:26:03] dirs=3 removed=0 sizeMB=189.9
[10:27:33] dirs=3 removed=0 sizeMB=189.9
[10:29:03] dirs=3 removed=0 sizeMB=189.9
[10:30:33] dirs=3 removed=0 sizeMB=95.0
[10:32:03] dirs=3 removed=0 sizeMB=95.0
[10:33:33] dirs=3 removed=0 sizeMB=95.0
[10:35:03] dirs=3 removed=0 sizeMB=95.0
[10:36:33] dirs=3 removed=0 sizeMB=95.0
[10:38:03] dirs=3 removed=0 sizeMB=95.0
[10:39:33] dirs=3 removed=0 sizeMB=95.0
[10:41:03] dirs=3 removed=0 sizeMB=189.9
[10:42:33] dirs=3 removed=0 sizeMB=189.9
[10:44:03] dirs=3 removed=0 sizeMB=189.9
[10:45:33] dirs=3 removed=0 sizeMB=189.9
[10:47:03] dirs=3 removed=0 sizeMB=189.9
[10:48:33] dirs=3 removed=0 sizeMB=189.9
[10:50:03] dirs=3 removed=0 sizeMB=189.9
[10:51:34] dirs=3 removed=0 sizeMB=95.0
[10:53:04] dirs=3 removed=0 sizeMB=95.0
[10:54:34] dirs=3 removed=0 sizeMB=95.0
[10:56:04] dirs=3 removed=0 sizeMB=95.0
[10:57:34] dirs=3 removed=0 sizeMB=95.0
[10:59:04] dirs=3 removed=0 sizeMB=95.0
[11:00:34] dirs=3 removed=0 sizeMB=175.2
[11:02:04] dirs=3 removed=0 sizeMB=189.9
[11:03:34] dirs=3 removed=0 sizeMB=189.9
[11:05:04] dirs=3 removed=0 sizeMB=189.9
[11:06:34] dirs=3 removed=0 sizeMB=189.9
[11:08:04] dirs=3 removed=0 sizeMB=189.9
[11:09:34] dirs=3 removed=0 sizeMB=189.9
[11:11:04] dirs=3 removed=0 sizeMB=95.0
[11:12:34] dirs=3 removed=0 sizeMB=95.0
[11:14:04] dirs=3 removed=0 sizeMB=95.0
[11:15:34] dirs=3 removed=0 sizeMB=95.0
[11:17:04] dirs=3 removed=0 sizeMB=95.0
[11:18:34] dirs=3 removed=0 sizeMB=95.0
[11:20:04] dirs=3 removed=0 sizeMB=95.0
[11:21:34] dirs=3 removed=0 sizeMB=95.0
[11:23:04] dirs=3 removed=0 sizeMB=189.9
[11:24:34] dirs=3 removed=0 sizeMB=189.9
[11:26:04] dirs=3 removed=0 sizeMB=189.9
[11:27:34] dirs=3 removed=0 sizeMB=189.9
[11:29:04] dirs=3 removed=0 sizeMB=189.9
[11:30:34] dirs=3 removed=0 sizeMB=189.9
[11:32:04] dirs=3 removed=0 sizeMB=189.9
[11:33:34] dirs=3 removed=0 sizeMB=95.0
[11:35:04] dirs=3 removed=0 sizeMB=95.0
[11:36:34] dirs=3 removed=0 sizeMB=95.0
[11:38:04] dirs=3 removed=0 sizeMB=95.0
[11:39:34] dirs=3 removed=0 sizeMB=95.0
[11:41:04] dirs=3 removed=0 sizeMB=95.0
[11:42:34] dirs=3 removed=0 sizeMB=95.0
[11:44:04] dirs=3 removed=0 sizeMB=95.0
[11:45:34] dirs=3 removed=0 sizeMB=189.9
[11:47:04] dirs=3 removed=0 sizeMB=189.9
[11:48:34] dirs=3 removed=0 sizeMB=189.9
[11:50:04] dirs=3 removed=0 sizeMB=189.9
[11:51:34] dirs=3 removed=0 sizeMB=189.9
[11:53:04] dirs=3 removed=0 sizeMB=189.9
[11:54:34] dirs=3 removed=0 sizeMB=189.9
[11:56:04] dirs=3 removed=0 sizeMB=189.9
[11:57:34] dirs=3 removed=0 sizeMB=95.0
[11:59:04] dirs=3 removed=0 sizeMB=95.0
[12:00:34] dirs=3 removed=0 sizeMB=95.0
[12:02:04] dirs=3 removed=0 sizeMB=95.0
[12:03:34] dirs=3 removed=0 sizeMB=95.0
[12:05:04] dirs=3 removed=0 sizeMB=95.0
[12:06:34] dirs=3 removed=0 sizeMB=95.0
[12:08:04] dirs=3 removed=0 sizeMB=94.5
[12:09:34] dirs=3 removed=0 sizeMB=189.9
[12:11:04] dirs=3 removed=0 sizeMB=189.9
[12:12:35] dirs=3 removed=0 sizeMB=189.9
[12:14:05] dirs=3 removed=0 sizeMB=189.9
